"70BCSV 	",
1508.02,-56.097
1508.04,-56.08
1508.06,-56.063
1508.08,-56.064
1508.1,-56.053
1508.12,-56.044
1508.14,-56.04
1508.16,-56.028
1508.18,-56.021
1508.2,-56.011
1508.22,-56.007
1508.24,-55.999
1508.26,-55.984
1508.28,-55.98
1508.3,-55.957
1508.32,-55.961
1508.34,-55.954
1508.36,-55.943
1508.38,-55.932
1508.4,-55.929
1508.42,-55.915
1508.44,-55.912
1508.46,-55.904
1508.48,-55.888
1508.5,-55.88
1508.52,-55.872
1508.54,-55.868
1508.56,-55.854
1508.58,-55.853
1508.6,-55.844
1508.62,-55.83
1508.64,-55.814
1508.66,-55.822
1508.68,-55.811
1508.7,-55.794
1508.72,-55.796
1508.74,-55.784
1508.76,-55.767
1508.78,-55.773
1508.8,-55.759
1508.82,-55.75
1508.84,-55.751
1508.86,-55.732
1508.88,-55.728
1508.9,-55.718
1508.92,-55.708
1508.94,-55.691
1508.96,-55.693
1508.98,-55.68
1509,-55.669
1509.02,-55.666
1509.04,-55.649
1509.06,-55.642
1509.08,-55.628
1509.1,-55.628
1509.12,-55.616
1509.14,-55.607
1509.16,-55.591
1509.18,-55.593
1509.2,-55.584
1509.22,-55.567
1509.24,-55.557
1509.26,-55.545
1509.28,-55.536
1509.3,-55.532
1509.32,-55.527
1509.34,-55.518
1509.36,-55.499
1509.38,-55.489
1509.4,-55.483
1509.42,-55.469
1509.44,-55.471
1509.46,-55.456
1509.48,-55.45
1509.5,-55.433
1509.52,-55.429
1509.54,-55.425
1509.56,-55.42
1509.58,-55.404
1509.6,-55.4
1509.62,-55.383
1509.64,-55.375
1509.66,-55.369
1509.68,-55.362
1509.7,-55.348
1509.72,-55.338
1509.74,-55.328
1509.76,-55.322
1509.78,-55.317
1509.8,-55.31
1509.82,-55.289
1509.84,-55.289
1509.86,-55.277
1509.88,-55.271
1509.9,-55.254
1509.92,-55.255
1509.94,-55.24
1509.96,-55.234
1509.98,-55.224
1510,-55.21
1510.02,-55.199
1510.04,-55.19
1510.06,-55.177
1510.08,-55.165
1510.1,-55.162
1510.12,-55.154
1510.14,-55.14
1510.16,-55.126
1510.18,-55.114
1510.2,-55.108
1510.22,-55.093
1510.24,-55.084
1510.26,-55.077
1510.28,-55.06
1510.3,-55.046
1510.32,-55.044
1510.34,-55.035
1510.36,-55.022
1510.38,-55.017
1510.4,-55.002
1510.42,-54.994
1510.44,-54.98
1510.46,-54.974
1510.48,-54.96
1510.5,-54.945
1510.52,-54.945
1510.54,-54.935
1510.56,-54.922
1510.58,-54.911
1510.6,-54.901
1510.62,-54.886
1510.64,-54.881
1510.66,-54.865
1510.68,-54.856
1510.7,-54.844
1510.72,-54.835
1510.74,-54.825
1510.76,-54.81
1510.78,-54.799
1510.8,-54.791
1510.82,-54.781
1510.84,-54.767
1510.86,-54.755
1510.88,-54.751
1510.9,-54.735
1510.92,-54.73
1510.94,-54.712
1510.96,-54.702
1510.98,-54.694
1511,-54.681
1511.02,-54.679
1511.04,-54.661
1511.06,-54.64
1511.08,-54.632
1511.1,-54.628
1511.12,-54.611
1511.14,-54.602
1511.16,-54.589
1511.18,-54.577
1511.2,-54.567
1511.22,-54.555
1511.24,-54.547
1511.26,-54.535
1511.28,-54.527
1511.3,-54.51
1511.32,-54.505
1511.34,-54.49
1511.36,-54.483
1511.38,-54.467
1511.4,-54.466
1511.42,-54.448
1511.44,-54.434
1511.46,-54.429
1511.48,-54.412
1511.5,-54.403
1511.52,-54.399
1511.54,-54.388
1511.56,-54.369
1511.58,-54.356
1511.6,-54.344
1511.62,-54.336
1511.64,-54.331
1511.66,-54.318
1511.68,-54.303
1511.7,-54.288
1511.72,-54.277
1511.74,-54.274
1511.76,-54.256
1511.78,-54.245
1511.8,-54.232
1511.82,-54.223
1511.84,-54.212
1511.86,-54.195
1511.88,-54.187
1511.9,-54.175
1511.92,-54.165
1511.94,-54.152
1511.96,-54.144
1511.98,-54.126
1512,-54.116
1512.02,-54.111
1512.04,-54.096
1512.06,-54.085
1512.08,-54.07
1512.1,-54.06
1512.12,-54.046
1512.14,-54.034
1512.16,-54.027
1512.18,-54.014
1512.2,-54.003
1512.22,-53.994
1512.24,-53.977
1512.26,-53.97
1512.28,-53.964
1512.3,-53.944
1512.32,-53.939
1512.34,-53.921
1512.36,-53.914
1512.38,-53.898
1512.4,-53.898
1512.42,-53.884
1512.44,-53.873
1512.46,-53.86
1512.48,-53.851
1512.5,-53.838
1512.52,-53.827
1512.54,-53.817
1512.56,-53.803
1512.58,-53.794
1512.6,-53.781
1512.62,-53.766
1512.64,-53.751
1512.66,-53.744
1512.68,-53.728
1512.7,-53.718
1512.72,-53.701
1512.74,-53.694
1512.76,-53.679
1512.78,-53.668
1512.8,-53.659
1512.82,-53.647
1512.84,-53.636
1512.86,-53.621
1512.88,-53.611
1512.9,-53.603
1512.92,-53.586
1512.94,-53.577
1512.96,-53.56
1512.98,-53.548
1513,-53.541
1513.02,-53.519
1513.04,-53.514
1513.06,-53.5
1513.08,-53.491
1513.1,-53.474
1513.12,-53.465
1513.14,-53.451
1513.16,-53.44
1513.18,-53.424
1513.2,-53.412
1513.22,-53.4
1513.24,-53.394
1513.26,-53.378
1513.28,-53.366
1513.3,-53.352
1513.32,-53.342
1513.34,-53.332
1513.36,-53.315
1513.38,-53.309
1513.4,-53.295
1513.42,-53.286
1513.44,-53.27
1513.46,-53.261
1513.48,-53.245
1513.5,-53.237
1513.52,-53.217
1513.54,-53.212
1513.56,-53.197
1513.58,-53.185
1513.6,-53.17
1513.62,-53.156
1513.64,-53.145
1513.66,-53.133
1513.68,-53.12
1513.7,-53.107
1513.72,-53.09
1513.74,-53.078
1513.76,-53.068
1513.78,-53.057
1513.8,-53.04
1513.82,-53.033
1513.84,-53.018
1513.86,-53.002
1513.88,-52.992
1513.9,-52.976
1513.92,-52.96
1513.94,-52.945
1513.96,-52.931
1513.98,-52.925
1514,-52.912
1514.02,-52.894
1514.04,-52.884
1514.06,-52.867
1514.08,-52.854
1514.1,-52.839
1514.12,-52.825
1514.14,-52.815
1514.16,-52.802
1514.18,-52.795
1514.2,-52.781
1514.22,-52.769
1514.24,-52.758
1514.26,-52.745
1514.28,-52.731
1514.3,-52.718
1514.32,-52.707
1514.34,-52.689
1514.36,-52.678
1514.38,-52.666
1514.4,-52.653
1514.42,-52.641
1514.44,-52.632
1514.46,-52.618
1514.48,-52.594
1514.5,-52.587
1514.52,-52.571
1514.54,-52.56
1514.56,-52.543
1514.58,-52.528
1514.6,-52.519
1514.62,-52.506
1514.64,-52.492
1514.66,-52.474
1514.68,-52.459
1514.7,-52.451
1514.72,-52.434
1514.74,-52.421
1514.76,-52.405
1514.78,-52.393
1514.8,-52.381
1514.82,-52.365
1514.84,-52.351
1514.86,-52.338
1514.88,-52.323
1514.9,-52.31
1514.92,-52.294
1514.94,-52.282
1514.96,-52.266
1514.98,-52.25
1515,-52.234
1515.02,-52.222
1515.04,-52.204
1515.06,-52.189
1515.08,-52.175
1515.1,-52.161
1515.12,-52.148
1515.14,-52.133
1515.16,-52.126
1515.18,-52.107
1515.2,-52.092
1515.22,-52.077
1515.24,-52.065
1515.26,-52.049
1515.28,-52.04
1515.3,-52.024
1515.32,-52.008
1515.34,-51.994
1515.36,-51.982
1515.38,-51.961
1515.4,-51.956
1515.42,-51.939
1515.44,-51.926
1515.46,-51.91
1515.48,-51.896
1515.5,-51.879
1515.52,-51.865
1515.54,-51.85
1515.56,-51.837
1515.58,-51.821
1515.6,-51.803
1515.62,-51.789
1515.64,-51.774
1515.66,-51.758
1515.68,-51.742
1515.7,-51.731
1515.72,-51.712
1515.74,-51.699
1515.76,-51.686
1515.78,-51.67
1515.8,-51.651
1515.82,-51.637
1515.84,-51.624
1515.86,-51.607
1515.88,-51.592
1515.9,-51.575
1515.92,-51.556
1515.94,-51.539
1515.96,-51.525
1515.98,-51.507
1516,-51.492
1516.02,-51.474
1516.04,-51.46
1516.06,-51.442
1516.08,-51.43
1516.1,-51.417
1516.12,-51.403
1516.14,-51.382
1516.16,-51.368
1516.18,-51.352
1516.2,-51.338
1516.22,-51.325
1516.24,-51.307
1516.26,-51.294
1516.28,-51.282
1516.3,-51.263
1516.32,-51.249
1516.34,-51.232
1516.36,-51.22
1516.38,-51.202
1516.4,-51.184
1516.42,-51.168
1516.44,-51.147
1516.46,-51.127
1516.48,-51.115
1516.5,-51.096
1516.52,-51.081
1516.54,-51.064
1516.56,-51.048
1516.58,-51.029
1516.6,-51.011
1516.62,-50.991
1516.64,-50.975
1516.66,-50.958
1516.68,-50.942
1516.7,-50.924
1516.72,-50.905
1516.74,-50.889
1516.76,-50.871
1516.78,-50.853
1516.8,-50.835
1516.82,-50.817
1516.84,-50.799
1516.86,-50.779
1516.88,-50.766
1516.9,-50.75
1516.92,-50.727
1516.94,-50.714
1516.96,-50.691
1516.98,-50.676
1517,-50.658
1517.02,-50.644
1517.04,-50.628
1517.06,-50.607
1517.08,-50.591
1517.1,-50.57
1517.12,-50.553
1517.14,-50.536
1517.16,-50.521
1517.18,-50.504
1517.2,-50.485
1517.22,-50.47
1517.24,-50.449
1517.26,-50.428
1517.28,-50.413
1517.3,-50.392
1517.32,-50.38
1517.34,-50.361
1517.36,-50.34
1517.38,-50.322
1517.4,-50.302
1517.42,-50.286
1517.44,-50.261
1517.46,-50.246
1517.48,-50.227
1517.5,-50.204
1517.52,-50.184
1517.54,-50.168
1517.56,-50.148
1517.58,-50.13
1517.6,-50.112
1517.62,-50.089
1517.64,-50.069
1517.66,-50.048
1517.68,-50.03
1517.7,-50.008
1517.72,-49.985
1517.74,-49.967
1517.76,-49.942
1517.78,-49.922
1517.8,-49.9
1517.82,-49.883
1517.84,-49.863
1517.86,-49.842
1517.88,-49.82
1517.9,-49.804
1517.92,-49.781
1517.94,-49.763
1517.96,-49.743
1517.98,-49.722
1518,-49.702
1518.02,-49.683
1518.04,-49.663
1518.06,-49.64
1518.08,-49.618
1518.1,-49.604
1518.12,-49.584
1518.14,-49.561
1518.16,-49.544
1518.18,-49.519
1518.2,-49.499
1518.22,-49.48
1518.24,-49.456
1518.26,-49.439
1518.28,-49.415
1518.3,-49.395
1518.32,-49.372
1518.34,-49.351
1518.36,-49.332
1518.38,-49.307
1518.4,-49.283
1518.42,-49.261
1518.44,-49.237
1518.46,-49.212
1518.48,-49.191
1518.5,-49.17
1518.52,-49.149
1518.54,-49.127
1518.56,-49.104
1518.58,-49.08
1518.6,-49.056
1518.62,-49.034
1518.64,-49.008
1518.66,-48.985
1518.68,-48.961
1518.7,-48.938
1518.72,-48.916
1518.74,-48.892
1518.76,-48.867
1518.78,-48.852
1518.8,-48.829
1518.82,-48.798
1518.84,-48.774
1518.86,-48.752
1518.88,-48.727
1518.9,-48.709
1518.92,-48.684
1518.94,-48.661
1518.96,-48.638
1518.98,-48.614
1519,-48.589
1519.02,-48.568
1519.04,-48.547
1519.06,-48.522
1519.08,-48.497
1519.1,-48.472
1519.12,-48.443
1519.14,-48.418
1519.16,-48.392
1519.18,-48.369
1519.2,-48.347
1519.22,-48.322
1519.24,-48.291
1519.26,-48.265
1519.28,-48.24
1519.3,-48.213
1519.32,-48.187
1519.34,-48.161
1519.36,-48.127
1519.38,-48.105
1519.4,-48.078
1519.42,-48.035
1519.44,-48.03
1519.46,-48.003
1519.48,-47.975
1519.5,-47.95
1519.52,-47.924
1519.54,-47.894
1519.56,-47.867
1519.58,-47.838
1519.6,-47.812
1519.62,-47.785
1519.64,-47.756
1519.66,-47.731
1519.68,-47.701
1519.7,-47.673
1519.72,-47.646
1519.74,-47.616
1519.76,-47.588
1519.78,-47.563
1519.8,-47.53
1519.82,-47.506
1519.84,-47.48
1519.86,-47.452
1519.88,-47.428
1519.9,-47.398
1519.92,-47.368
1519.94,-47.337
1519.96,-47.307
1519.98,-47.282
1520,-47.259
1520.02,-47.234
1520.04,-47.201
1520.06,-47.165
1520.08,-47.133
1520.1,-47.103
1520.12,-47.077
1520.14,-47.047
1520.16,-47.018
1520.18,-46.986
1520.2,-46.954
1520.22,-46.922
1520.24,-46.889
1520.26,-46.859
1520.28,-46.825
1520.3,-46.791
1520.32,-46.76
1520.34,-46.727
1520.36,-46.699
1520.38,-46.667
1520.4,-46.633
1520.42,-46.603
1520.44,-46.572
1520.46,-46.539
1520.48,-46.508
1520.5,-46.474
1520.52,-46.442
1520.54,-46.413
1520.56,-46.376
1520.58,-46.341
1520.6,-46.31
1520.62,-46.275
1520.64,-46.241
1520.66,-46.209
1520.68,-46.173
1520.7,-46.141
1520.72,-46.111
1520.74,-46.071
1520.76,-46.036
1520.78,-46.007
1520.8,-45.977
1520.82,-45.945
1520.84,-45.911
1520.86,-45.874
1520.88,-45.84
1520.9,-45.809
1520.92,-45.774
1520.94,-45.739
1520.96,-45.708
1520.98,-45.674
1521,-45.635
1521.02,-45.598
1521.04,-45.568
1521.06,-45.535
1521.08,-45.494
1521.1,-45.458
1521.12,-45.426
1521.14,-45.389
1521.16,-45.352
1521.18,-45.314
1521.2,-45.278
1521.22,-45.24
1521.24,-45.209
1521.26,-45.166
1521.28,-45.129
1521.3,-45.093
1521.32,-45.056
1521.34,-45.024
1521.36,-44.985
1521.38,-44.948
1521.4,-44.908
1521.42,-44.87
1521.44,-44.833
1521.46,-44.799
1521.48,-44.763
1521.5,-44.719
1521.52,-44.682
1521.54,-44.642
1521.56,-44.604
1521.58,-44.566
1521.6,-44.528
1521.62,-44.489
1521.64,-44.45
1521.66,-44.414
1521.68,-44.371
1521.7,-44.335
1521.72,-44.3
1521.74,-44.262
1521.76,-44.224
1521.78,-44.186
1521.8,-44.147
1521.82,-44.111
1521.84,-44.075
1521.86,-44.035
1521.88,-43.999
1521.9,-43.96
1521.92,-43.921
1521.94,-43.882
1521.96,-43.846
1521.98,-43.808
1522,-43.77
1522.02,-43.729
1522.04,-43.691
1522.06,-43.648
1522.08,-43.603
1522.1,-43.568
1522.12,-43.529
1522.14,-43.486
1522.16,-43.443
1522.18,-43.405
1522.2,-43.363
1522.22,-43.32
1522.24,-43.279
1522.26,-43.241
1522.28,-43.202
1522.3,-43.161
1522.32,-43.122
1522.34,-43.08
1522.36,-43.039
1522.38,-42.995
1522.4,-42.948
1522.42,-42.914
1522.44,-42.872
1522.46,-42.831
1522.48,-42.786
1522.5,-42.744
1522.52,-42.709
1522.54,-42.661
1522.56,-42.619
1522.58,-42.583
1522.6,-42.541
1522.62,-42.501
1522.64,-42.459
1522.66,-42.418
1522.68,-42.376
1522.7,-42.336
1522.72,-42.295
1522.74,-42.255
1522.76,-42.216
1522.78,-42.179
1522.8,-42.14
1522.82,-42.1
1522.84,-42.057
1522.86,-42.017
1522.88,-41.977
1522.9,-41.936
1522.92,-41.895
1522.94,-41.854
1522.96,-41.817
1522.98,-41.774
1523,-41.733
1523.02,-41.691
1523.04,-41.651
1523.06,-41.611
1523.08,-41.57
1523.1,-41.532
1523.12,-41.49
1523.14,-41.445
1523.16,-41.402
1523.18,-41.362
1523.2,-41.321
1523.22,-41.278
1523.24,-41.239
1523.26,-41.199
1523.28,-41.158
1523.3,-41.117
1523.32,-41.074
1523.34,-41.032
1523.36,-40.99
1523.38,-40.948
1523.4,-40.905
1523.42,-40.862
1523.44,-40.82
1523.46,-40.779
1523.48,-40.738
1523.5,-40.695
1523.52,-40.661
1523.54,-40.621
1523.56,-40.579
1523.58,-40.54
1523.6,-40.498
1523.62,-40.456
1523.64,-40.416
1523.66,-40.374
1523.68,-40.337
1523.7,-40.299
1523.72,-40.26
1523.74,-40.219
1523.76,-40.179
1523.78,-40.139
1523.8,-40.098
1523.82,-40.058
1523.84,-40.017
1523.86,-39.977
1523.88,-39.937
1523.9,-39.898
1523.92,-39.86
1523.94,-39.822
1523.96,-39.782
1523.98,-39.742
1524,-39.703
1524.02,-39.664
1524.04,-39.623
1524.06,-39.585
1524.08,-39.538
1524.1,-39.493
1524.12,-39.453
1524.14,-39.413
1524.16,-39.371
1524.18,-39.331
1524.2,-39.294
1524.22,-39.254
1524.24,-39.215
1524.26,-39.18
1524.28,-39.141
1524.3,-39.103
1524.32,-39.055
1524.34,-39.015
1524.36,-38.985
1524.38,-38.936
1524.4,-38.89
1524.42,-38.854
1524.44,-38.826
1524.46,-38.783
1524.48,-38.753
1524.5,-38.715
1524.52,-38.673
1524.54,-38.635
1524.56,-38.596
1524.58,-38.557
1524.6,-38.521
1524.62,-38.485
1524.64,-38.447
1524.66,-38.408
1524.68,-38.368
1524.7,-38.329
1524.72,-38.291
1524.74,-38.254
1524.76,-38.217
1524.78,-38.178
1524.8,-38.136
1524.82,-38.099
1524.84,-38.062
1524.86,-38.026
1524.88,-37.989
1524.9,-37.953
1524.92,-37.918
1524.94,-37.879
1524.96,-37.841
1524.98,-37.805
1525,-37.767
1525.02,-37.733
1525.04,-37.69
1525.06,-37.648
1525.08,-37.608
1525.1,-37.573
1525.12,-37.538
1525.14,-37.501
1525.16,-37.464
1525.18,-37.425
1525.2,-37.388
1525.22,-37.353
1525.24,-37.319
1525.26,-37.281
1525.28,-37.246
1525.3,-37.206
1525.32,-37.155
1525.34,-37.116
1525.36,-37.083
1525.38,-37.054
1525.4,-37.013
1525.42,-36.986
1525.44,-36.947
1525.46,-36.908
1525.48,-36.871
1525.5,-36.834
1525.52,-36.801
1525.54,-36.767
1525.56,-36.739
1525.58,-36.702
1525.6,-36.668
1525.62,-36.629
1525.64,-36.592
1525.66,-36.553
1525.68,-36.516
1525.7,-36.481
1525.72,-36.446
1525.74,-36.41
1525.76,-36.375
1525.78,-36.338
1525.8,-36.301
1525.82,-36.261
1525.84,-36.225
1525.86,-36.189
1525.88,-36.154
1525.9,-36.119
1525.92,-36.083
1525.94,-36.046
1525.96,-35.998
1525.98,-35.959
1526,-35.924
1526.02,-35.89
1526.04,-35.857
1526.06,-35.821
1526.08,-35.786
1526.1,-35.754
1526.12,-35.721
1526.14,-35.686
1526.16,-35.653
1526.18,-35.621
1526.2,-35.579
1526.22,-35.55
1526.24,-35.502
1526.26,-35.465
1526.28,-35.43
1526.3,-35.409
1526.32,-35.376
1526.34,-35.341
1526.36,-35.309
1526.38,-35.273
1526.4,-35.24
1526.42,-35.201
1526.44,-35.164
1526.46,-35.134
1526.48,-35.101
1526.5,-35.069
1526.52,-35.037
1526.54,-35.005
1526.56,-34.97
1526.58,-34.935
1526.6,-34.899
1526.62,-34.868
1526.64,-34.835
1526.66,-34.806
1526.68,-34.774
1526.7,-34.74
1526.72,-34.706
1526.74,-34.675
1526.76,-34.64
1526.78,-34.603
1526.8,-34.568
1526.82,-34.534
1526.84,-34.499
1526.86,-34.463
1526.88,-34.423
1526.9,-34.379
1526.92,-34.34
1526.94,-34.304
1526.96,-34.264
1526.98,-34.228
1527,-34.192
1527.02,-34.157
1527.04,-34.121
1527.06,-34.081
1527.08,-34.044
1527.1,-34.009
1527.12,-33.97
1527.14,-33.927
1527.16,-33.895
1527.18,-33.859
1527.2,-33.823
1527.22,-33.789
1527.24,-33.754
1527.26,-33.722
1527.28,-33.69
1527.3,-33.657
1527.32,-33.628
1527.34,-33.598
1527.36,-33.565
1527.38,-33.531
1527.4,-33.5
1527.42,-33.47
1527.44,-33.441
1527.46,-33.409
1527.48,-33.376
1527.5,-33.345
1527.52,-33.31
1527.54,-33.277
1527.56,-33.238
1527.58,-33.202
1527.6,-33.167
1527.62,-33.135
